Ord_ID;Cust_ID;Prod_ID;Ship_ID;Order_Date;Ship_Date;Customer_Name;Province;Region;Customer_Segment;Sales;Order_Quantity;Order_Priority;DaysTakenForShipping
Ord_738;Cust_241;Prod_7;SHP_1005;2012-07-28;2012-07-29;KRISTINA NUNN;BRITISH COLUMBIA;WEST;CONSUMER;15119;38;MEDIUM;1
Ord_757;Cust_231;Prod_14;SHP_1034;2010-01-14;2010-01-16;LELA DONOVAN;BRITISH COLUMBIA;WEST;CORPORATE;660792;34;NOT SPECIFIED;2
Ord_825;Cust_247;Prod_14;SHP_1132;2011-01-10;2011-01-12;TONY CHAPMAN;BRITISH COLUMBIA;WEST;CONSUMER;2766392;8;CRITICAL;2
Ord_1092;Cust_1426;Prod_7;SHP_1508;2010-09-05;2010-09-05;BRUCE STEWART;NEW BRUNSWICK;ATLANTIC;CORPORATE;12337;27;NOT SPECIFIED;0
Ord_1286;Cust_481;Prod_7;SHP_1774;2009-10-21;2009-10-23;PHILIP BROWN;ONTARIO;ONTARIO;HOME OFFICE;5238;13;NOT SPECIFIED;2
Ord_1427;Cust_511;Prod_7;SHP_1973;2012-10-18;2012-10-22;ERIN ASHBROOK;ONTARIO;ONTARIO;CONSUMER;3321;18;LOW;4
Ord_1505;Cust_518;Prod_14;SHP_2081;2009-02-16;2009-02-20;EDWARD BECKER;ONTARIO;ONTARIO;HOME OFFICE;986251;15;LOW;4
Ord_171;Cust_103;Prod_14;SHP_231;2011-09-02;2011-09-04;ROY SKARIA;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;CORPORATE;635029;10;CRITICAL;2
Ord_1672;Cust_492;Prod_7;SHP_2311;2011-08-22;2011-08-23;EDWARD NAZZAL;ONTARIO;ONTARIO;HOME OFFICE;8932;25;MEDIUM;1
Ord_1741;Cust_595;Prod_7;SHP_2410;2012-09-13;2012-09-15;VICTORIA WILSON;ONTARIO;ONTARIO;HOME OFFICE;16216;49;LOW;2
Ord_1765;Cust_595;Prod_14;SHP_2447;2010-06-17;2010-06-24;VICTORIA WILSON;ONTARIO;ONTARIO;HOME OFFICE;1464726;25;LOW;7
Ord_1765;Cust_595;Prod_7;SHP_2447;2010-06-17;2010-06-24;VICTORIA WILSON;ONTARIO;ONTARIO;HOME OFFICE;26112021;10;LOW;7
Ord_1872;Cust_659;Prod_7;SHP_2571;2011-03-17;2011-03-18;PETER MCVEE;NOVA SCOTIA;ATLANTIC;SMALL BUSINESS;4357;35;CRITICAL;1
Ord_200;Cust_42;Prod_7;SHP_273;2009-01-16;2009-01-17;SYLVIA FOULSTON;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;CORPORATE;7849;41;MEDIUM;1
Ord_2164;Cust_812;Prod_14;SHP_2949;2012-06-18;2012-06-19;MICHELLE HUTHWAITE;QUEBEC;QUEBEC;HOME OFFICE;129435;3;CRITICAL;1
Ord_218;Cust_56;Prod_14;SHP_303;2009-10-23;2009-10-24;BRENDAN DODSON;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;CORPORATE;126162;19;NOT SPECIFIED;1
Ord_2248;Cust_879;Prod_7;SHP_3056;2011-10-10;2011-10-12;SHIRLEY JACKSON;QUEBEC;QUEBEC;CORPORATE;8334;43;LOW;2
Ord_8;Cust_8;Prod_7;SHP_10;2010-11-23;2010-11-24;NEOLA SCHNEIDER;NUNAVUT;NUNAVUT;HOME OFFICE;12456;32;MEDIUM;1
Ord_761;Cust_237;Prod_7;SHP_1039;2011-10-29;2011-10-30;RALPH KENNEDY;BRITISH COLUMBIA;WEST;CORPORATE;3292;8;HIGH;1
Ord_82;Cust_62;Prod_14;SHP_108;2010-02-09;2010-02-09;CARLOS SOLTERO;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;SMALL BUSINESS;2150677;44;LOW;0
Ord_972;Cust_356;Prod_7;SHP_1342;2012-08-16;2012-08-18;NATHAN MAUTZ;BRITISH COLUMBIA;WEST;HOME OFFICE;9088;41;CRITICAL;2
Ord_988;Cust_360;Prod_7;SHP_1364;2011-06-07;2011-06-11;MIKE KENNEDY;MANITOBA;PRARIE;CORPORATE;9096;48;LOW;4
Ord_997;Cust_365;Prod_14;SHP_1379;2010-10-22;2010-10-23;PARHENA NORRIS;MANITOBA;PRARIE;HOME OFFICE;2876152;8;NOT SPECIFIED;1
Ord_411;Cust_155;Prod_7;SHP_1787;2010-08-03;2010-08-04;PHILIP BROWN;PRINCE EDWARD ISLAND;ATLANTIC;HOME OFFICE;2245;15;CRITICAL;1
Ord_1409;Cust_496;Prod_7;SHP_1944;2012-07-12;2012-07-17;ED LUDWIG;ONTARIO;ONTARIO;CONSUMER;10119;28;LOW;5
Ord_1835;Cust_639;Prod_7;SHP_2652;2012-11-01;2012-11-05;BRAD THOMAS;NEWFOUNDLAND;ATLANTIC;CORPORATE;13025;45;LOW;4
Ord_1172;Cust_449;Prod_1;SHP_1618;2010-12-12;2010-12-13;BRAD EASON;ONTARIO;ONTARIO;SMALL BUSINESS;52928;45;NOT SPECIFIED;1
Ord_1183;Cust_451;Prod_1;SHP_1633;2011-02-05;2011-02-05;HAROLD PAWLAN;ONTARIO;ONTARIO;SMALL BUSINESS;156269;43;HIGH;0
Ord_736;Cust_254;Prod_5;SHP_1003;2010-09-20;2010-09-22;LENA HERNANDEZ;BRITISH COLUMBIA;WEST;HOME OFFICE;20878;42;LOW;2
Ord_789;Cust_264;Prod_5;SHP_1083;2012-06-17;2012-06-19;CATHY ARMSTRONG;BRITISH COLUMBIA;WEST;CONSUMER;74014;37;NOT SPECIFIED;2
Ord_83;Cust_62;Prod_12;SHP_110;2009-01-17;2009-01-17;CARLOS SOLTERO;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;SMALL BUSINESS;114349;40;CRITICAL;0
Ord_807;Cust_232;Prod_5;SHP_1110;2010-12-14;2010-12-16;SHAHID SHARIARI;BRITISH COLUMBIA;WEST;CORPORATE;2638;7;MEDIUM;2
Ord_811;Cust_239;Prod_1;SHP_1115;2011-04-05;2011-04-05;KHLOE MILLER;BRITISH COLUMBIA;WEST;HOME OFFICE;18919;12;NOT SPECIFIED;0
Ord_827;Cust_240;Prod_5;SHP_1134;2012-05-30;2012-05-31;SHAHID HOPKINS;BRITISH COLUMBIA;WEST;SMALL BUSINESS;39584;38;NOT SPECIFIED;1
Ord_838;Cust_273;Prod_5;SHP_1148;2012-03-01;2012-03-08;TRUDY SCHMIDT;NOVA SCOTIA;ATLANTIC;SMALL BUSINESS;96106;28;LOW;7
Ord_847;Cust_283;Prod_1;SHP_1168;2011-10-02;2011-10-02;CHUCK CLARK;NOVA SCOTIA;ATLANTIC;CORPORATE;23825;24;MEDIUM;0
Ord_872;Cust_298;Prod_5;SHP_1199;2011-09-08;2011-09-09;RICARDO EMERSON;NOVA SCOTIA;ATLANTIC;CORPORATE;201845;29;CRITICAL;1
Ord_905;Cust_302;Prod_5;SHP_1245;2012-02-12;2012-02-13;SALLY MATTHIAS;NOVA SCOTIA;ATLANTIC;HOME OFFICE;72382;26;HIGH;1
Ord_933;Cust_319;Prod_12;SHP_1291;2009-07-06;2009-07-07;MICHAEL GRANLUND;NOVA SCOTIA;ATLANTIC;HOME OFFICE;3302;11;NOT SPECIFIED;1
Ord_96;Cust_69;Prod_5;SHP_131;2011-03-17;2011-03-18;JULIA WEST;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;CORPORATE;175351;42;CRITICAL;1
Ord_960;Cust_349;Prod_5;SHP_1329;2011-09-29;2011-10-02;MATT ABELMAN;BRITISH COLUMBIA;WEST;SMALL BUSINESS;6519;49;CRITICAL;3
Ord_1008;Cust_380;Prod_5;SHP_1395;2010-10-26;2010-10-31;SARAH JORDON;MANITOBA;PRARIE;CONSUMER;68967;38;LOW;5
Ord_1092;Cust_1426;Prod_5;SHP_1508;2010-09-05;2010-09-05;BRUCE STEWART;NEW BRUNSWICK;ATLANTIC;CORPORATE;92782;43;NOT SPECIFIED;0
Ord_115;Cust_79;Prod_1;SHP_156;2011-06-07;2011-06-09;DOROTHY WARDLE;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;CORPORATE;23428;8;CRITICAL;2
Ord_1145;Cust_439;Prod_12;SHP_1579;2011-09-07;2011-09-09;CHRISTINE KARGATIS;ONTARIO;ONTARIO;SMALL BUSINESS;4837;16;NOT SPECIFIED;2
Ord_836;Cust_1037;Prod_1;SHP_1144;2011-02-03;2011-02-04;TONY CHAPMAN;ONTARIO;ONTARIO;CONSUMER;34018;39;NOT SPECIFIED;1
Ord_845;Cust_281;Prod_5;SHP_1162;2010-10-09;2010-10-09;GIULIETTA WEIMER;NOVA SCOTIA;ATLANTIC;CORPORATE;18532;44;HIGH;0
Ord_885;Cust_308;Prod_5;SHP_1218;2011-07-03;2011-07-03;STEVE CARROLL;NOVA SCOTIA;ATLANTIC;CONSUMER;32592;33;HIGH;0
Ord_909;Cust_307;Prod_1;SHP_1253;2009-08-04;2009-08-05;MICHAEL GRANLUND;NOVA SCOTIA;ATLANTIC;CORPORATE;18904;16;MEDIUM;1
Ord_97;Cust_70;Prod_5;SHP_132;2012-06-06;2012-06-08;BRAD EASON;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;SMALL BUSINESS;42634;31;CRITICAL;2
Ord_1038;Cust_397;Prod_5;SHP_1432;2010-11-13;2010-11-14;CHRISTINE SUNDARESAM;MANITOBA;PRARIE;SMALL BUSINESS;336724;44;NOT SPECIFIED;1
Ord_575;Cust_195;Prod_3;SHP_1169;2012-03-23;2012-03-24;SALLY KNUTSON;BRITISH COLUMBIA;WEST;CONSUMER;13231;45;NOT SPECIFIED;1
Ord_575;Cust_195;Prod_8;SHP_1169;2012-03-23;2012-03-24;SALLY KNUTSON;BRITISH COLUMBIA;WEST;CONSUMER;8685;3;NOT SPECIFIED;1
Ord_938;Cust_330;Prod_3;SHP_1297;2012-12-27;2012-12-27;ROLAND BLACK;NOVA SCOTIA;ATLANTIC;SMALL BUSINESS;83351;41;HIGH;0
Ord_953;Cust_343;Prod_3;SHP_1320;2012-12-16;2012-12-16;KEN HEIDEL;BRITISH COLUMBIA;WEST;CORPORATE;26588;46;NOT SPECIFIED;0
Ord_99;Cust_72;Prod_8;SHP_136;2012-11-06;2012-11-10;MONICA FEDERLE;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;CORPORATE;31144;32;LOW;4
Ord_1004;Cust_365;Prod_3;SHP_1389;2012-07-20;2012-07-20;PARHENA NORRIS;MANITOBA;PRARIE;HOME OFFICE;13954;26;NOT SPECIFIED;0
Ord_1018;Cust_362;Prod_3;SHP_1408;2012-07-10;2012-07-11;ROLAND BLACK;MANITOBA;PRARIE;SMALL BUSINESS;5559;8;MEDIUM;1
Ord_1035;Cust_394;Prod_8;SHP_1429;2011-09-08;2011-09-09;ROBERT WALDORF;MANITOBA;PRARIE;HOME OFFICE;35743;17;HIGH;1
Ord_111;Cust_65;Prod_8;SHP_152;2010-08-17;2010-08-19;MUHAMMED MACINTYRE;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;SMALL BUSINESS;63356;31;NOT SPECIFIED;2
Ord_1106;Cust_419;Prod_8;SHP_1527;2009-05-10;2009-05-12;ROBERT WALDORF;ONTARIO;ONTARIO;HOME OFFICE;30946;49;LOW;2
Ord_1159;Cust_1421;Prod_3;SHP_1601;2009-01-29;2009-01-31;LIZ MACKENDRICK;NEW BRUNSWICK;ATLANTIC;CORPORATE;1614761;38;MEDIUM;2
Ord_1242;Cust_464;Prod_3;SHP_1717;2012-10-19;2012-10-19;PAULINE CHAND;ONTARIO;ONTARIO;CORPORATE;32191;22;NOT SPECIFIED;0
Ord_1249;Cust_475;Prod_3;SHP_1725;2012-03-14;2012-03-16;DANIEL RAGLIN;ONTARIO;ONTARIO;CORPORATE;61171;18;NOT SPECIFIED;2
Ord_1250;Cust_1761;Prod_3;SHP_1726;2011-06-29;2011-07-01;ROSE O'BRIAN;ALBERTA;WEST;HOME OFFICE;11082021;1;LOW;2
Ord_130;Cust_1064;Prod_3;SHP_176;2009-08-10;2009-08-10;FRED WASSERMAN;ONTARIO;ONTARIO;HOME OFFICE;37665;16;LOW;0
Ord_1062;Cust_397;Prod_3;SHP_1468;2010-11-21;2010-11-22;CHRISTINE SUNDARESAM;MANITOBA;PRARIE;SMALL BUSINESS;14931;27;NOT SPECIFIED;1
Ord_1078;Cust_413;Prod_3;SHP_1491;2012-11-07;2012-11-08;BRUCE STEWART;ONTARIO;ONTARIO;CORPORATE;25797;19;HIGH;1
Ord_1079;Cust_414;Prod_3;SHP_1492;2011-02-07;2011-02-10;BRIAN THOMPSON;ONTARIO;ONTARIO;HOME OFFICE;61977;42;CRITICAL;3
Ord_1151;Cust_442;Prod_3;SHP_1585;2009-06-22;2009-06-24;RUSSELL APPLEGATE;ONTARIO;ONTARIO;HOME OFFICE;153837;50;CRITICAL;2
